loss,params,iteration,estimators,train_time
0.10539425233050947,"{'bagging_fraction': 1.0, 'bagging_freq': 6, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8354529364857335, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.012870052868666826, 'lambda_l2': 0.3947518897572406, 'learning_rate': 0.034764692857493874, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 400, 'min_gain_to_split': 0.8271771430837951, 'min_sum_hessian_in_leaf': 0.0010389803372940689, 'num_leaves': 8, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 240000, 'subsample': 0.918912765494746}",1,2445,315.3712188999998
0.10854527941672276,"{'bagging_fraction': 1.0, 'bagging_freq': 4, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8542379436375489, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.3352509133152294, 'lambda_l2': 0.951263756660002, 'learning_rate': 0.06967386780973854, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 350, 'min_gain_to_split': 0.4194119108489185, 'min_sum_hessian_in_leaf': 0.006582075031818991, 'num_leaves': 20, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 60000, 'subsample': 0.8703003695806317}",2,758,157.00188060000073
0.10754064093018023,"{'bagging_fraction': 1.0, 'bagging_freq': 4, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.723383831527579, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.20698631291734138, 'lambda_l2': 0.5141779819797478, 'learning_rate': 0.03738384202565658, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 440, 'min_gain_to_split': 0.43321988983110504, 'min_sum_hessian_in_leaf': 0.00020937853531173125, 'num_leaves': 60, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 100000, 'subsample': 0.9935963738177965}",3,1034,310.87633359999745
0.11545289711078288,"{'bagging_fraction': 1.0, 'bagging_freq': 2, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.7791432608828043, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.7798013476968962, 'lambda_l2': 0.9335110368574614, 'learning_rate': 0.12362687613795731, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 200, 'min_gain_to_split': 0.012283227889803738, 'min_sum_hessian_in_leaf': 0.19157934712069127, 'num_leaves': 60, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 280000, 'subsample': 0.6492099229166988}",4,319,119.25379619999876
0.11432146867928039,"{'bagging_fraction': 1.0, 'bagging_freq': 8, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.6008020690402226, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.31023978523555895, 'lambda_l2': 0.32586259843641063, 'learning_rate': 0.1052669705912455, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 490, 'min_gain_to_split': 0.9544122331463598, 'min_sum_hessian_in_leaf': 0.0008730281482611421, 'num_leaves': 161, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 80000, 'subsample': 0.5804051623546813}",5,669,163.4482394000006
0.11065926418300442,"{'bagging_fraction': 1.0, 'bagging_freq': 0, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8961780950425833, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.4529432420926277, 'lambda_l2': 0.7762982396275651, 'learning_rate': 0.030548379854961765, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 330, 'min_gain_to_split': 0.3805301835369852, 'min_sum_hessian_in_leaf': 0.0027467350905841974, 'num_leaves': 173, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 180000, 'subsample': 0.7511567737563457}",6,2529,960.6313223999969
0.10624477378112973,"{'bagging_fraction': 1.0, 'bagging_freq': 9, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.6339432905454657, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.4533637520208582, 'lambda_l2': 0.7843710251728674, 'learning_rate': 0.07528002785470812, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 495, 'min_gain_to_split': 0.7659363055044035, 'min_sum_hessian_in_leaf': 0.004039104904612862, 'num_leaves': 10, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 180000, 'subsample': 0.8766850850278722}",7,1112,122.62252459999581
0.10743934409978484,"{'bagging_fraction': 1.0, 'bagging_freq': 2, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8369614694781163, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.9437930021019598, 'lambda_l2': 0.8520708321703687, 'learning_rate': 0.022421766258433336, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 50, 'min_gain_to_split': 0.4255162985907929, 'min_sum_hessian_in_leaf': 0.1476126432437203, 'num_leaves': 65, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 120000, 'subsample': 0.8147169007029875}",8,1641,577.6456178000008
0.10861650571316095,"{'bagging_fraction': 1.0, 'bagging_freq': 5, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.9667060436979055, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.36880743154841333, 'lambda_l2': 0.15296665245515717, 'learning_rate': 0.03195467415820472, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 45, 'min_gain_to_split': 0.7263997345825606, 'min_sum_hessian_in_leaf': 0.00010256062882192877, 'num_leaves': 66, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 120000, 'subsample': 0.6004754474393823}",9,1102,453.5570157999973
0.10658578838757349,"{'bagging_fraction': 1.0, 'bagging_freq': 8, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.7894369237593424, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.5015126869822725, 'lambda_l2': 0.7162888402733772, 'learning_rate': 0.02281353706485943, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 290, 'min_gain_to_split': 0.020884140399830775, 'min_sum_hessian_in_leaf': 0.020148295089547023, 'num_leaves': 60, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 160000, 'subsample': 0.6108701587166675}",1,1743,1263.296883332
